2025-11-02 00:14:08.424 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - LoginRegisterHikariCP - Shutdown initiated...
2025-11-02 00:14:08.441 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - LoginRegisterHikariCP - Shutdown completed.
2025-11-02 00:15:08.178 [restartedMain] INFO  c.v.loginregister_new.LoginRegisterNewApplication - Starting LoginRegisterNewApplication using Java 21.0.7 with PID 11744 (D:\Code\Module\LoginRegister_Mod\LoginRegister_New\target\classes started by 01Vortex in D:\Code\Module\LoginRegister_Mod)
2025-11-02 00:15:08.180 [restartedMain] INFO  c.v.loginregister_new.LoginRegisterNewApplication - The following 1 profile is active: "prod"
2025-11-02 00:15:08.222 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-11-02 00:15:08.223 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-11-02 00:15:09.122 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-11-02 00:15:09.125 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-11-02 00:15:09.158 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2025-11-02 00:15:09.712 [restartedMain] INFO  c.v.loginregister_new.config.VirtualThreadConfig - 🚀 配置 Tomcat 使用虚拟线程
2025-11-02 00:15:09.775 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-02 00:15:09.788 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-11-02 00:15:09.788 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-11-02 00:15:09.861 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-11-02 00:15:09.861 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1638 ms
2025-11-02 00:15:10.256 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - LoginRegisterHikariCP - Starting...
2025-11-02 00:15:10.378 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - LoginRegisterHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@71a60bb9
2025-11-02 00:15:10.380 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - LoginRegisterHikariCP - Start completed.
2025-11-02 00:15:10.719 [restartedMain] INFO  c.v.l.service.impl.EmailServiceImpl - =================================================
2025-11-02 00:15:10.719 [restartedMain] INFO  c.v.l.service.impl.EmailServiceImpl - 开始测试邮箱服务器连接...
2025-11-02 00:15:10.719 [restartedMain] INFO  c.v.l.service.impl.EmailServiceImpl - 邮箱服务器: smtp.qq.com:465
2025-11-02 00:15:10.720 [restartedMain] INFO  c.v.l.service.impl.EmailServiceImpl - 发件人账号: isvoid2077@qq.com
2025-11-02 00:15:11.480 [restartedMain] INFO  c.v.l.service.impl.EmailServiceImpl - ✅ 邮箱服务器连接成功！
2025-11-02 00:15:11.480 [restartedMain] INFO  c.v.l.service.impl.EmailServiceImpl - 邮件服务已就绪，可以正常发送邮件
2025-11-02 00:15:11.480 [restartedMain] INFO  c.v.l.service.impl.EmailServiceImpl - =================================================
2025-11-02 00:15:11.579 [restartedMain] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: b9cb2aaf-8c23-4599-bd84-197e673c6ff5

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-11-02 00:15:11.903 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-11-02 00:15:11.955 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@223d6adb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@634795d0, org.springframework.security.web.context.SecurityContextHolderFilter@1df39073, org.springframework.security.web.header.HeaderWriterFilter@3ba72dc8, org.springframework.web.filter.CorsFilter@4757021c, org.springframework.security.web.authentication.logout.LogoutFilter@4294e5b2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@e70676a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2005b108, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@36ff1e2f, org.springframework.security.web.access.ExceptionTranslationFilter@7e9cde08, org.springframework.security.web.access.intercept.AuthorizationFilter@3c3fa08c]
2025-11-02 00:15:11.966 [restartedMain] INFO  c.v.loginregister_new.config.VirtualThreadConfig - 🚀 配置异步任务执行器使用虚拟线程
2025-11-02 00:15:11.968 [restartedMain] INFO  c.v.loginregister_new.config.VirtualThreadConfig - 🚀 配置简单异步任务执行器使用虚拟线程
2025-11-02 00:15:12.241 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-11-02 00:15:12.301 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-11-02 00:15:12.310 [restartedMain] INFO  c.v.loginregister_new.LoginRegisterNewApplication - Started LoginRegisterNewApplication in 4.724 seconds (process running for 5.577)
2025-11-02 00:15:12.650 [RMI TCP Connection(2)-192.168.1.5] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-02 00:15:12.650 [RMI TCP Connection(2)-192.168.1.5] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-02 00:15:12.652 [RMI TCP Connection(2)-192.168.1.5] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-11-02 00:15:26.008 [tomcat-handler-1] INFO  c.v.loginregister_new.controller.AuthController - 用户登录请求: admin
2025-11-02 00:15:26.168 [tomcat-handler-1] INFO  c.v.loginregister_new.controller.AuthController - 用户 admin 登录成功
